,time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,sed_check,sed_prolong_start_time,sed_prolong
164,17:00:00,2016-08-30,62,0,17:00:00,68,1,35,2016-08-30 17:00:00,a001,True,0,0
165,17:15:00,2016-08-30,92,187,17:15:00,69,1,35,2016-08-30 17:15:00,a001,False,0,0
166,17:30:00,2016-08-30,87,33,17:30:00,70,1,35,2016-08-30 17:30:00,a001,False,0,0
167,17:45:00,2016-08-30,80,22,17:45:00,71,1,35,2016-08-30 17:45:00,a001,False,0,0
168,18:00:00,2016-08-30,77,7,18:00:00,72,1,35,2016-08-30 18:00:00,a001,False,0,0
169,18:15:00,2016-08-30,77,0,18:15:00,73,1,35,2016-08-30 18:15:00,a001,True,0,0
170,18:30:00,2016-08-30,77,27,18:30:00,74,1,35,2016-08-30 18:30:00,a001,False,0,0
171,18:45:00,2016-08-30,75,0,18:45:00,75,1,35,2016-08-30 18:45:00,a001,True,0,0
172,19:00:00,2016-08-30,76,4,19:00:00,76,1,35,2016-08-30 19:00:00,a001,False,0,0
173,19:15:00,2016-08-30,77,59,19:15:00,77,1,35,2016-08-30 19:15:00,a001,False,0,0
174,19:30:00,2016-08-30,69,0,19:30:00,78,1,35,2016-08-30 19:30:00,a001,True,2,0
175,19:45:00,2016-08-30,71,0,19:45:00,79,1,35,2016-08-30 19:45:00,a001,True,0,0
176,20:00:00,2016-08-30,74,0,20:00:00,80,1,35,2016-08-30 20:00:00,a001,True,0,0
177,20:15:00,2016-08-30,78,181,20:15:00,81,1,35,2016-08-30 20:15:00,a001,False,0,0
178,20:30:00,2016-08-30,91,529,20:30:00,82,1,35,2016-08-30 20:30:00,a001,False,0,0
179,20:45:00,2016-08-30,71,157,20:45:00,83,1,35,2016-08-30 20:45:00,a001,False,0,0
180,21:00:00,2016-08-30,65,0,21:00:00,84,1,35,2016-08-30 21:00:00,a001,True,2,0
181,21:15:00,2016-08-30,66,0,21:15:00,85,1,35,2016-08-30 21:15:00,a001,True,0,0
182,21:30:00,2016-08-30,66,0,21:30:00,86,1,35,2016-08-30 21:30:00,a001,True,0,0
183,21:45:00,2016-08-30,73,15,21:45:00,87,1,35,2016-08-30 21:45:00,a001,False,0,0
184,22:00:00,2016-08-30,77,0,22:00:00,88,1,35,2016-08-30 22:00:00,a001,True,4,0
185,22:15:00,2016-08-30,69,0,22:15:00,89,1,35,2016-08-30 22:15:00,a001,True,0,0
186,22:30:00,2016-08-30,70,0,22:30:00,90,1,35,2016-08-30 22:30:00,a001,True,0,0
187,22:45:00,2016-08-30,70,0,22:45:00,91,1,35,2016-08-30 22:45:00,a001,True,0,0
188,23:00:00,2016-08-30,74,0,23:00:00,92,1,35,2016-08-30 23:00:00,a001,True,0,0
189,23:15:00,2016-08-30,70,0,23:15:00,93,1,35,2016-08-30 23:15:00,a001,False,0,0
190,23:30:00,2016-08-30,0,0,23:30:00,94,1,35,2016-08-30 23:30:00,a001,False,0,0
191,23:45:00,2016-08-30,0,0,23:45:00,95,1,35,2016-08-30 23:45:00,a001,False,0,0
192,00:00:00,2016-08-31,0,0,00:00:00,0,2,35,2016-08-31 00:00:00,a001,False,0,0
193,00:15:00,2016-08-31,0,0,00:15:00,1,2,35,2016-08-31 00:15:00,a001,False,0,0
194,00:30:00,2016-08-31,0,0,00:30:00,2,2,35,2016-08-31 00:30:00,a001,False,0,0
195,00:45:00,2016-08-31,0,0,00:45:00,3,2,35,2016-08-31 00:45:00,a001,False,0,0
196,01:00:00,2016-08-31,0,0,01:00:00,4,2,35,2016-08-31 01:00:00,a001,False,0,0
197,01:15:00,2016-08-31,0,0,01:15:00,5,2,35,2016-08-31 01:15:00,a001,False,0,0
198,01:30:00,2016-08-31,0,0,01:30:00,6,2,35,2016-08-31 01:30:00,a001,False,0,0
199,01:45:00,2016-08-31,0,0,01:45:00,7,2,35,2016-08-31 01:45:00,a001,False,0,0
200,02:00:00,2016-08-31,0,0,02:00:00,8,2,35,2016-08-31 02:00:00,a001,False,0,0
201,02:15:00,2016-08-31,0,0,02:15:00,9,2,35,2016-08-31 02:15:00,a001,False,0,0
202,02:30:00,2016-08-31,0,0,02:30:00,10,2,35,2016-08-31 02:30:00,a001,False,0,0
203,02:45:00,2016-08-31,0,0,02:45:00,11,2,35,2016-08-31 02:45:00,a001,False,0,0
204,03:00:00,2016-08-31,0,0,03:00:00,12,2,35,2016-08-31 03:00:00,a001,False,0,0
205,03:15:00,2016-08-31,0,0,03:15:00,13,2,35,2016-08-31 03:15:00,a001,False,0,0
206,03:30:00,2016-08-31,0,0,03:30:00,14,2,35,2016-08-31 03:30:00,a001,False,0,0
207,03:45:00,2016-08-31,0,0,03:45:00,15,2,35,2016-08-31 03:45:00,a001,False,0,0
208,04:00:00,2016-08-31,0,0,04:00:00,16,2,35,2016-08-31 04:00:00,a001,False,0,0
209,04:15:00,2016-08-31,0,0,04:15:00,17,2,35,2016-08-31 04:15:00,a001,False,0,0
210,04:30:00,2016-08-31,0,0,04:30:00,18,2,35,2016-08-31 04:30:00,a001,False,0,0
211,04:45:00,2016-08-31,0,0,04:45:00,19,2,35,2016-08-31 04:45:00,a001,False,0,0
212,05:00:00,2016-08-31,0,0,05:00:00,20,2,35,2016-08-31 05:00:00,a001,False,0,0
213,05:15:00,2016-08-31,0,0,05:15:00,21,2,35,2016-08-31 05:15:00,a001,False,0,0
214,05:30:00,2016-08-31,0,0,05:30:00,22,2,35,2016-08-31 05:30:00,a001,False,0,0
215,05:45:00,2016-08-31,0,0,05:45:00,23,2,35,2016-08-31 05:45:00,a001,False,0,0
216,06:00:00,2016-08-31,0,0,06:00:00,24,2,35,2016-08-31 06:00:00,a001,False,0,0
217,06:15:00,2016-08-31,0,0,06:15:00,25,2,35,2016-08-31 06:15:00,a001,False,0,0
218,06:30:00,2016-08-31,0,0,06:30:00,26,2,35,2016-08-31 06:30:00,a001,False,0,0
219,06:45:00,2016-08-31,0,0,06:45:00,27,2,35,2016-08-31 06:45:00,a001,False,0,0
220,07:00:00,2016-08-31,0,0,07:00:00,28,2,35,2016-08-31 07:00:00,a001,False,0,0
221,07:15:00,2016-08-31,0,0,07:15:00,29,2,35,2016-08-31 07:15:00,a001,False,0,0
222,07:30:00,2016-08-31,0,0,07:30:00,30,2,35,2016-08-31 07:30:00,a001,False,0,0
223,07:45:00,2016-08-31,0,0,07:45:00,31,2,35,2016-08-31 07:45:00,a001,False,0,0
224,08:00:00,2016-08-31,0,0,08:00:00,32,2,35,2016-08-31 08:00:00,a001,False,0,0
225,08:15:00,2016-08-31,0,0,08:15:00,33,2,35,2016-08-31 08:15:00,a001,False,0,0
226,08:30:00,2016-08-31,0,0,08:30:00,34,2,35,2016-08-31 08:30:00,a001,False,0,0
227,08:45:00,2016-08-31,0,0,08:45:00,35,2,35,2016-08-31 08:45:00,a001,False,0,0
228,09:00:00,2016-08-31,84,46,09:00:00,36,2,35,2016-08-31 09:00:00,a001,False,0,0
229,09:15:00,2016-08-31,91,211,09:15:00,37,2,35,2016-08-31 09:15:00,a001,False,0,0
230,09:30:00,2016-08-31,104,1223,09:30:00,38,2,35,2016-08-31 09:30:00,a001,False,0,0
231,09:45:00,2016-08-31,103,627,09:45:00,39,2,35,2016-08-31 09:45:00,a001,False,0,0
232,10:00:00,2016-08-31,84,12,10:00:00,40,2,35,2016-08-31 10:00:00,a001,False,0,0
233,10:15:00,2016-08-31,79,0,10:15:00,41,2,35,2016-08-31 10:15:00,a001,True,1,0
234,10:30:00,2016-08-31,76,0,10:30:00,42,2,35,2016-08-31 10:30:00,a001,True,0,0
235,10:45:00,2016-08-31,73,24,10:45:00,43,2,35,2016-08-31 10:45:00,a001,False,0,0
236,11:00:00,2016-08-31,70,0,11:00:00,44,2,35,2016-08-31 11:00:00,a001,True,0,0
237,11:15:00,2016-08-31,84,707,11:15:00,45,2,35,2016-08-31 11:15:00,a001,False,0,0
238,11:30:00,2016-08-31,92,1073,11:30:00,46,2,35,2016-08-31 11:30:00,a001,False,0,0
239,11:45:00,2016-08-31,72,0,11:45:00,47,2,35,2016-08-31 11:45:00,a001,True,2,0
240,12:00:00,2016-08-31,71,0,12:00:00,48,2,35,2016-08-31 12:00:00,a001,True,0,0
241,12:15:00,2016-08-31,70,0,12:15:00,49,2,35,2016-08-31 12:15:00,a001,True,0,0
242,12:30:00,2016-08-31,83,273,12:30:00,50,2,35,2016-08-31 12:30:00,a001,False,0,0
243,12:45:00,2016-08-31,104,1059,12:45:00,51,2,35,2016-08-31 12:45:00,a001,False,0,0
244,13:00:00,2016-08-31,73,42,13:00:00,52,2,35,2016-08-31 13:00:00,a001,False,0,0
245,13:15:00,2016-08-31,73,0,13:15:00,53,2,35,2016-08-31 13:15:00,a001,True,0,0
246,13:30:00,2016-08-31,81,37,13:30:00,54,2,35,2016-08-31 13:30:00,a001,False,0,0
247,13:45:00,2016-08-31,87,4,13:45:00,55,2,35,2016-08-31 13:45:00,a001,False,0,0
248,14:00:00,2016-08-31,102,895,14:00:00,56,2,35,2016-08-31 14:00:00,a001,False,0,0
249,14:15:00,2016-08-31,100,402,14:15:00,57,2,35,2016-08-31 14:15:00,a001,False,0,0
250,14:30:00,2016-08-31,74,0,14:30:00,58,2,35,2016-08-31 14:30:00,a001,True,0,0
251,14:45:00,2016-08-31,70,65,14:45:00,59,2,35,2016-08-31 14:45:00,a001,False,0,0
252,15:00:00,2016-08-31,71,0,15:00:00,60,2,35,2016-08-31 15:00:00,a001,True,0,0
253,15:15:00,2016-08-31,73,5,15:15:00,61,2,35,2016-08-31 15:15:00,a001,False,0,0
254,15:30:00,2016-08-31,72,0,15:30:00,62,2,35,2016-08-31 15:30:00,a001,True,0,0
255,15:45:00,2016-08-31,69,32,15:45:00,63,2,35,2016-08-31 15:45:00,a001,False,0,0
256,16:00:00,2016-08-31,71,18,16:00:00,64,2,35,2016-08-31 16:00:00,a001,False,0,0
257,16:15:00,2016-08-31,72,55,16:15:00,65,2,35,2016-08-31 16:15:00,a001,False,0,0
